-6.070688366889953613e-01,9.795836210250854492e-01,-6.687172502279281616e-02,8.323812484741210938e-01,-5.004573464393615723e-01,6.943914294242858887e-01,6.362757412716746330e-04,-6.916987150907516479e-02,9.998753070831298828e-01,-7.314093112945556641e-01,2.088454961776733398e-01,1.698500961065292358e-01,-8.086175322532653809e-01,1.923790276050567627e-01,9.168910235166549683e-02,9.201019406318664551e-01
-6.031070351600646973e-01,9.867659211158752441e-01,9.027850627899169922e-01,7.460879683494567871e-01,6.129541397094726562e-01,5.525282025337219238e-01,1.661282479763031006e-01,-8.071412444114685059e-01,9.999400377273559570e-01,4.874841868877410889e-01,6.864209771156311035e-01,-6.632052659988403320e-01,4.771944582462310791e-01,1.364644914865493774e-01,-7.080307602882385254e-01,9.754127264022827148e-01
-2.520253062248229980e-01,9.899908900260925293e-01,4.021155238151550293e-01,-2.384156435728073120e-01,-3.810313642024993896e-01,-4.505953788757324219e-01,3.075994849205017090e-01,5.589224696159362793e-01,9.998735785484313965e-01,5.051885247230529785e-01,4.956157803535461426e-01,1.762720048427581787e-01,-4.917861521244049072e-01,3.058767318725585938e-01,4.919318556785583496e-01,9.985793232917785645e-01
-5.028189420700073242e-01,9.914995431900024414e-01,5.712695717811584473e-01,-2.057809084653854370e-01,9.293990135192871094e-01,9.188908338546752930e-01,2.757703326642513275e-02,-3.604006767272949219e-01,9.994238018989562988e-01,-3.459626138210296631e-01,-7.441687583923339844e-01,5.702757835388183594e-01,8.370080590248107910e-01,-8.193223476409912109e-01,-6.697278022766113281e-01,8.528578877449035645e-01
8.417987078428268433e-02,8.221126794815063477e-01,-3.350556194782257080e-01,-4.838295280933380127e-01,5.700901150703430176e-01,-7.536271810531616211e-01,7.662860155105590820e-01,1.403030008077621460e-01,6.997394561767578125e-01,-1.637936234474182129e-01,1.200538575649261475e-01,3.196568489074707031e-01,3.166977167129516602e-01,2.492729574441909790e-01,-4.149077236652374268e-01,9.554722905158996582e-01
-8.686389327049255371e-01,9.612010717391967773e-01,-6.316781044006347656e-01,4.097878187894821167e-02,3.274267911911010742e-01,6.102301478385925293e-01,-1.530513465404510498e-01,-2.132916450500488281e-01,9.996376037597656250e-01,4.478915631771087646e-01,-6.081707477569580078e-01,2.894180119037628174e-01,4.531730338931083679e-02,-6.850894093513488770e-01,7.109081745147705078e-01,7.343494892120361328e-01
-3.793042898178100586e-01,9.230279326438903809e-01,-8.652074933052062988e-01,7.843024283647537231e-02,-5.709036588668823242e-01,-8.150838613510131836e-01,9.130625128746032715e-01,-1.705543398857116699e-01,9.998932480812072754e-01,8.289377093315124512e-01,6.042516231536865234e-01,-2.713606953620910645e-01,-1.717094928026199341e-01,5.857640132308006287e-02,6.125243306159973145e-01,9.952633380889892578e-01
6.611196398735046387e-01,9.955334663391113281e-01,4.900897145271301270e-01,-1.410238295793533325e-01,3.785935342311859131e-01,-2.594822943210601807e-01,5.537748336791992188e-01,-3.589251339435577393e-01,9.982486367225646973e-01,-1.715917736291885376e-01,-3.949866592884063721e-01,1.568389385938644409e-01,8.622533082962036133e-01,8.089731633663177490e-02,-1.215326320379972458e-02,9.813683629035949707e-01
-6.034377217292785645e-01,9.931414723396301270e-01,-5.629043579101562500e-01,-1.423159688711166382e-01,5.899029970169067383e-01,6.579728126525878906e-01,4.064510464668273926e-01,-3.679031133651733398e-01,9.968330860137939453e-01,-9.288887977600097656e-01,-7.296488285064697266e-01,-2.002034783363342285e-01,-5.215941071510314941e-01,-6.048676967620849609e-01,-8.312099575996398926e-01,9.198486208915710449e-01
-3.437366783618927002e-01,9.957312941551208496e-01,4.550042152404785156e-01,-3.181425333023071289e-01,-4.012280106544494629e-01,7.269785404205322266e-01,-4.218386411666870117e-01,-6.833067536354064941e-01,9.999797344207763672e-01,6.437169313430786133e-01,4.645677208900451660e-01,-7.784561514854431152e-01,7.227821350097656250e-01,-6.996854543685913086e-01,6.181787252426147461e-01,9.913146495819091797e-01
